id,title,url,score,extraction_date
47438723,Astral to Join OpenAI,https://astral.sh/blog/openai,1224,2026-03-20 02:23:09
47442690,Google details new 24-hour process to sideload unverified Android apps,https://arstechnica.com/gadgets/2026/03/google-details-new-24-hour-process-to-sideload-unverified-android-apps/,523,2026-03-20 02:23:09
47447600,Bombarding gamblers with offers greatly increases betting and gambling harm,https://www.bristol.ac.uk/news/2026/march/bombarding-gamblers-with-offers-greatly-increases-betting-and-gambling-harm.html,81,2026-03-20 02:23:09
47448328,Wayland set the Linux Desktop back by 10 years,https://omar.yt/posts/wayland-set-the-linux-desktop-back-by-10-years,152,2026-03-20 02:23:09
47448524,Push events into a running session with channels,https://code.claude.com/docs/en/channels,163,2026-03-20 02:23:09
47448566,Drugwars for the TI-82/83/83 Calculators,https://gist.github.com/mattmanning/1002653/b7a1e88479a10eaae3bd5298b8b2c86e16fb4404,31,2026-03-20 02:23:09
47389055,Explore 19th Century Scientific Correspondence,https://epsilon.ac.uk/,22,2026-03-19 02:30:20
47425176,Trevor Milton is raising funds for a new jet he claims will transform flying,https://www.wsj.com/business/trevor-milton-pardon-nikola-trump-3163e19c,94,2026-03-19 02:30:20
47372072,On a Boat,https://moq.dev/blog/on-a-boat/,128,2026-03-19 02:30:19
47387431,An x86-64 back end for raven-uxn,https://www.mattkeeter.com/blog/2026-03-15-uxn/,11,2026-03-19 02:30:19
47397862,Czech Man's Stone in Barn's Foundations Is Rare Bronze Age Spearhead Mold,https://www.smithsonianmag.com/smart-news/a-czech-man-used-this-stone-in-his-barns-foundations-it-turned-out-to-be-rare-bronze-age-spearhead-mold-180988339/,5,2026-03-19 02:30:19
47423976,OpenAI Has New Focus (on the IPO),https://om.co/2026/03/17/openai-has-new-focus-on-the-ipo/,155,2026-03-19 02:30:19
47424458,Measuring progress toward AGI: A cognitive framework,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/measuring-agi-cognitive-framework/,103,2026-03-19 02:30:19
47432915,RX – a new random-access JSON alternative,https://github.com/creationix/rx,10,2026-03-19 02:30:19
47388658,Nvidia greenboost: transparently extend GPU VRAM using system RAM/NVMe,https://gitlab.com/IsolatedOctopi/nvidia_greenboost,158,2026-03-19 02:30:18
47401489,The math that explains why bell curves are everywhere,https://www.quantamagazine.org/the-math-that-explains-why-bell-curves-are-everywhere-20260316/,60,2026-03-19 02:30:18
47431237,Warranty Void If Regenerated,https://nearzero.software/p/warranty-void-if-regenerated,207,2026-03-19 02:30:18
47431671,"Show HN: Duplicate 3 layers in a 24B LLM, logical deduction .22→.76. No training",https://github.com/alainnothere/llm-circuit-finder,74,2026-03-19 02:30:18
47431930,What’s on HTTP?,https://whatsonhttp.com/,33,2026-03-19 02:30:18
47433058,Austin’s surge of new housing construction drove down rents,https://www.pew.org/en/research-and-analysis/articles/2026/03/18/austins-surge-of-new-housing-construction-drove-down-rents,275,2026-03-19 02:30:18
47433265,Autoresearch for SAT Solvers,https://github.com/iliazintchenko/agent-sat,36,2026-03-19 02:30:18
47374519,Restoring the first recording of computer music (2018),https://www.bl.uk/stories/blogs/posts/restoring-the-first-recording-of-computer-music,25,2026-03-19 01:26:51
47422408,Ndea (YC W26) is hiring a symbolic RL search guidance lead,https://ndea.com/jobs/search-guidance,1,2026-03-19 01:26:50
47417804,"Get Shit Done: A meta-prompting, context engineering and spec-driven dev system",https://github.com/gsd-build/get-shit-done,430,2026-03-19 01:26:49
47412569,Show HN: Sub-millisecond VM sandboxes using CoW memory forking,https://github.com/adammiribyan/zeroboot,280,2026-03-19 01:26:47
47425918,A ngrok-style secure tunnel server written in Rust and Open Source,https://github.com/joaoh82/rustunnel,53,2026-03-19 01:26:46
47420432,The pleasures of poor product design,https://www.inconspicuous.info/p/the-pleasures-of-poor-product-design,234,2026-03-19 01:26:44
47430797,"FBI is buying location data to track US citizens, director confirms",https://techcrunch.com/2026/03/18/fbi-is-buying-location-data-to-track-us-citizens-kash-patel-wyden/,7,2026-03-19 01:26:43
47422228,Celebrating Tony Hoare's mark on computer science,https://bertrandmeyer.com/2026/03/16/celebrating-tony-hoares-mark-on-computer-science/,109,2026-03-19 01:26:42
47428810,EU Inc.: A new harmonised corporate legal regime,https://commission.europa.eu/topics/business-and-industry/doing-business-eu/company-law-and-corporate-governance/eu-inc-new-harmonised-corporate-legal-regime_en,53,2026-03-19 01:26:40
47427647,"Google Engineers Launch ""Sashiko"" for Agentic AI Code Review of the Linux Kernel",https://www.phoronix.com/news/Sashiko-Linux-AI-Code-Review,66,2026-03-19 01:26:39
47427299,Show HN: I built 48 lightweight SVG backgrounds you can copy/paste,https://www.svgbackgrounds.com/set/free-svg-backgrounds-and-patterns/,16,2026-03-19 01:26:38
47399330,Using calculus to do number theory,https://hidden-phenomena.com/articles/hensels,81,2026-03-19 01:26:36
47427017,Snowflake AI Escapes Sandbox and Executes Malware,https://www.promptarmor.com/resources/snowflake-ai-escapes-sandbox-and-executes-malware,184,2026-03-19 01:26:35
47389696,Write up of my homebrew CPU build,https://willwarren.com/2026/03/12/building-my-own-cpu-part-3-from-simulation-to-hardware/,211,2026-03-19 01:26:33
47426936,Machine Payments Protocol (MPP),https://stripe.com/blog/machine-payments-protocol,100,2026-03-19 01:26:32
47428868,"Show HN: Tmux-IDE, OSS agent-first terminal IDE",https://tmux.thijsverreck.com,31,2026-03-19 01:26:31
47427208,CVE-2026-3888: Important Snap Flaw Enables Local Privilege Escalation to Root,https://blog.qualys.com/vulnerabilities-threat-research/2026/03/17/cve-2026-3888-important-snap-flaw-enables-local-privilege-escalation-to-root,37,2026-03-19 01:26:29
47426932,Death to Scroll Fade,https://dbushell.com/2026/01/09/death-to-scroll-fade/,285,2026-03-19 01:26:28
47427027,Nvidia NemoClaw,https://github.com/NVIDIA/NemoClaw,150,2026-03-19 01:26:27
47426057,"Federal Cyber Experts Called Microsoft's Cloud ""A Pile of Shit"", yet Approved It",https://www.propublica.org/article/microsoft-cloud-fedramp-cybersecurity-government,380,2026-03-19 01:26:25
47422942,Nightingale – open-source karaoke app that works with any song on your computer,https://nightingale.cafe/,423,2026-03-19 01:26:24
47385260,Samsung Galaxy S26 Ultra Review: The Privacy Screen,https://www.wired.com/review/samsung-galaxy-s26-ultra/,11,2026-03-19 01:26:23
47428541,AI coding is gambling,https://notes.visaint.space/ai-coding-is-gambling/,218,2026-03-19 01:26:21
47380714,Book: The Emerging Science of Machine Learning Benchmarks,https://mlbenchmarks.org/00-preface.html,19,2026-03-19 01:26:20
47429988,Show HN: Playing LongTurn FreeCiv with Friends,https://github.com/ndroo/freeciv.andrewmcgrath.info,18,2026-03-19 01:26:19
47423694,2025 Turing award given for quantum information science,https://awards.acm.org/about/2025-turing,53,2026-03-19 01:26:18
47422759,"Wander – A tiny, decentralised tool to explore the small web",https://susam.net/wander/,52,2026-03-19 01:26:16
47378781,"Show HN: Hacker News archive (47M+ items, 11.6GB) as Parquet, updated every 5m",https://huggingface.co/datasets/open-index/hacker-news,171,2026-03-19 01:26:15
47423647,Rob Pike's Rules of Programming (1989),https://www.cs.unc.edu/~stotts/COMP590-059-f24/robsrules.html,719,2026-03-19 01:26:14
47386703,OpenRocket,https://openrocket.info/,192,2026-03-19 01:26:13
47395786,I reverse-engineered the TiinyAI Pocket Lab from marketing photos,https://bay41.com/posts/tiiny-ai-pocket-lab-review/,8,2026-03-18 20:54:10
